GeneID	Symbol	Description	log2(fold change)(SkinLesion-PsA vs HealthySkin)	-log10(Pvalue)(SkinLesion-PsA vs HealthySkin)
8613	PLPP3	phospholipid phosphatase 3	-0.696	2.119
5563	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2	-1.409	8.131
112268263	LOC112268263	uncharacterized LOC112268263	-1.182	2.88
105378751	LOC105378751	uncharacterized LOC105378751	-1.281	2.687
101926907	LOC101926907	uncharacterized LOC101926907	-1.16	3.54
55277	FGGY	FGGY carbohydrate kinase domain containing	-1.217	12.147
51361	HOOK1	hook microtubule tethering protein 1	0.884	7.769
1573	CYP2J2	cytochrome P450 family 2 subfamily J member 2	-1.688	6.334
163782	KANK4	KN motif and ankyrin repeat domains 4	-2.888	11.411
100996301	FOXD3-AS1	FOXD3 antisense RNA 1	-1.104	3.414
27022	FOXD3	forkhead box D3	-0.723	2.581
84455	EFCAB7	EF-hand calcium binding domain 7	-0.697	8.527
4919	ROR1	receptor tyrosine kinase like orphan receptor 1	-0.631	4.41
107984966	LOC107984966	uncharacterized LOC107984966	1.353	3.142
57685	CACHD1	cache domain containing 1	1.235	15.663
3953	LEPR	leptin receptor	-1.23	10.514
79819	DNAI4	dynein axonemal intermediate chain 4	-1.252	8.797
23169	SLC35D1	solute carrier family 35 member D1	0.745	3.631
3595	IL12RB2	interleukin 12 receptor subunit beta 2	2.093	18.043
105378779	LOC105378779		1.544	2.158
26135	SERBP1	SERPINE1 mRNA binding protein 1	0.629	7.994
100289178	GNG12-AS1	GNG12, DIRAS3 and WLS antisense RNA 1	-0.547	2.406
9077	DIRAS3	DIRAS family GTPase 3	-1.031	2.006
79971	WLS	Wnt ligand secretion mediator	-0.505	4.126
55635	DEPDC1	DEP domain containing 1	1.53	9.236
57554	LRRC7	leucine rich repeat containing 7	-2.097	8.664
5733	PTGER3	prostaglandin E receptor 3	1.224	17.025
100132618	ZRANB2-AS1	ZRANB2 antisense RNA 1	0.501	3.141
406962	MIR186	microRNA 186	-0.772	1.544
257194	NEGR1	neuronal growth regulator 1	-0.524	1.33
51086	TNNI3K	TNNI3 interacting kinase	-2.069	12.126
81849	ST6GALNAC5	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	-1.447	5.433
374987	NEXN-AS1	NEXN antisense RNA 1	-0.971	1.95
91624	NEXN	nexilin F-actin binding protein	-0.688	6.793
11080	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4	-0.694	7.026
54810	GIPC2	GIPC PDZ domain containing family member 2	-0.91	5.564
10964	IFI44L	interferon induced protein 44 like	3.11	7.782
10561	IFI44	interferon induced protein 44	3.299	18.819
23266	ADGRL2	adhesion G protein-coupled receptor L2	0.784	5.142
101927587	LINC01725	long intergenic non-protein coding RNA 1725	-1.737	6.902
79739	TTLL7	tubulin tyrosine ligase like 7	-0.975	4.221
148418	SAMD13	sterile alpha motif domain containing 13	-0.98	1.753
117178	SSX2IP	SSX family member 2 interacting protein	0.571	2.787
55283	MCOLN3	mucolipin TRP cation channel 3	-1.029	4.957
126820	DNAI3	dynein axonemal intermediate chain 3	0.778	1.97
84144	SYDE2	synapse defective Rho GTPase homolog 2	-0.843	3.906
8915	BCL10	BCL10 immune signaling adaptor	0.818	13.128
646626	BCL10-AS1	BCL10 antisense RNA 1	0.888	4.714
23576	DDAH1	dimethylarginine dimethylaminohydrolase 1	-1.345	7.997
107985057	LOC107985057	uncharacterized LOC107985057	-0.997	1.745
255631	COL24A1	collagen type XXIV alpha 1 chain	-1.059	4.36
9635	CLCA2	chloride channel accessory 2	1.624	14.813
339524	LINC01140	long intergenic non-protein coding RNA 1140	-1.716	5.315
8543	LMO4	LIM domain only 4	-0.773	7.872
494115	RBMXL1	RBMX like 1	0.62	6.605
2635	GBP3	guanylate binding protein 3	1.416	8.426
2633	GBP1	guanylate binding protein 1	2.143	18.678
2634	GBP2	guanylate binding protein 2	0.922	9.352
112268267	LOC112268267	uncharacterized LOC112268267	0.995	5.311
115361	GBP4	guanylate binding protein 4	1.581	6.6
115362	GBP5	guanylate binding protein 5	3.277	16.029
163351	GBP6	guanylate binding protein family member 6	2.905	5.726
400759	GBP1P1	guanylate binding protein 1 pseudogene 1	1.537	5.155
23507	LRRC8B	leucine rich repeat containing 8 VRAC subunit B	1.632	13.044
84230	LRRC8C	leucine rich repeat containing 8 VRAC subunit C	-0.601	1.964
400761	LRRC8C-DT	LRRC8C divergent transcript	-1.139	2.494
55144	LRRC8D	leucine rich repeat containing 8 VRAC subunit D	1.105	10.767
105378853	LINC02609	long intergenic non-protein coding RNA 2609	-1.153	2.974
8317	CDC7	cell division cycle 7	0.713	4.577
7049	TGFBR3	transforming growth factor beta receptor 3	-0.784	7.961
253152	EPHX4	epoxide hydrolase 4	-1.167	2.403
646817	SETSIP	SET like protein	0.54	2.126
23285	KIAA1107	replaced by ID 284697	-1.039	4.554
6125	RPL5	ribosomal protein L5	-0.706	7.885
100131564	CCDC18-AS1	CCDC18 antisense RNA 1	-1.49	7.413
8412	BCAR3	BCAR3 adaptor protein, NSP family member	-1.999	25.25
100129046	BCAR3-AS1	BCAR3 antisense RNA 1	-1.754	6.14
24	ABCA4	ATP binding cassette subfamily A member 4	-1.728	5.415
105378858	LOC105378858	uncharacterized LOC105378858	-1.786	5.051
2152	F3	coagulation factor III, tissue factor	-2.304	19.292
101928079	SLC44A3-AS1	SLC44A3 antisense RNA 1	-1.103	2.757
126969	SLC44A3	solute carrier family 44 member 3	-0.793	2.348
729970	CNN3-DT	CNN3 divergent transcript	-0.69	2.3
148534	TLCD4	TLC domain containing 4	-3.618	7.232
100527978	TLCD4-RWDD3	TLCD4-RWDD3 readthrough	-1.168	3.134
25950	RWDD3	RWD domain containing 3	-0.777	6.851
58155	PTBP2	polypyrimidine tract binding protein 2	-0.502	2.04
1806	DPYD	dihydropyrimidine dehydrogenase	0.827	7.674
100873932	DPYD-AS1	DPYD antisense RNA 1	0.945	3.695
54873	PALMD	palmdelphin	-0.893	6.264
391059	FRRS1	ferric chelate reductase 1	0.785	10.907
7412	VCAM1	vascular cell adhesion molecule 1	0.8	1.441
148867	SLC30A7	solute carrier family 30 member 7	0.83	14.937
102606465	DPH5-DT	DPH5 divergent transcript	-0.79	3.774
55599	RNPC3	RNA binding region (RNP1, RRM) containing 3	-0.624	1.734
280	AMY2B	amylase alpha 2B	-1.685	12.648
648740	ACTG1P4	actin gamma 1 pseudogene 4	-1.02	1.557
279	AMY2A	amylase alpha 2A	-1.942	14.022
276	AMY1A	amylase alpha 1A	-2.009	17.533
277	AMY1B	amylase alpha 1B	-2.139	8.962
278	AMY1C	amylase alpha 1C	-1.933	15.341
55170	PRMT6	protein arginine methyltransferase 6	0.722	5.952
29957	SLC25A24	solute carrier family 25 member 24	0.617	6.521
105378891	LOC105378891	uncharacterized LOC105378891	-1.164	1.961
29899	GPSM2	G protein signaling modulator 2	0.78	6.347
6884	TAF13	TATA-box binding protein associated factor 13	0.771	4.795
677766	SCARNA2	small Cajal body-specific RNA 2	-1.438	4.26
57535	ELAPOR1	endosome-lysosome associated apoptosis and autophagy regulator 1	-1.56	4.903
1952	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2	0.571	1.893
84722	PSRC1	proline and serine rich coiled-coil 1	1.076	6.422
6272	SORT1	sortilin 1	0.694	6.114
5686	PSMA5	proteasome 20S subunit alpha 5	0.588	4.544
2773	GNAI3	G protein subunit alpha i3	0.507	5.572
