GeneID	Symbol	Description	log2(fold change)(AkS vs lesion-PsA)	-log10(Pvalue)(AkS vs lesion-PsA)
63976	PRDM16	PR/SET domain 16	1.46	3.748
1953	MEGF6	multiple EGF like domains 6	1.105	2.867
57212	TP73-AS1	TP73 antisense RNA 1	0.673	4.476
339448	C1orf174	chromosome 1 open reading frame 174	-0.587	2.579
261734	NPHP4	nephrocystin 4	0.609	1.558
388591	RNF207	ring finger protein 207	0.814	1.335
11332	ACOT7	acyl-CoA thioesterase 7	-0.834	4.142
83715	ESPN	espin	1.444	5.078
8718	TNFRSF25	TNF receptor superfamily member 25	1.019	1.858
57449	PLEKHG5	pleckstrin homology and RhoGEF domain containing G5	1.334	4.688
8863	PER3	period circadian regulator 3	0.775	3.088
3604	TNFRSF9	TNF receptor superfamily member 9	-2.656	10.199
54206	ERRFI1	ERBB receptor feedback inhibitor 1	-0.559	2.005
473	RERE	arginine-glutamic acid dipeptide repeats	0.672	2.82
2023	ENO1	enolase 1	-0.814	5.717
765	CA6	carbonic anhydrase 6	1.038	1.65
9563	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase	0.788	2.46
100526739	CENPS-CORT	CENPS-CORT readthrough	-0.832	2.432
378708	CENPS	centromere protein S	-0.833	2.295
10747	MASP2	MBL associated serine protease 2	1.073	2.183
6723	SRM	spermidine synthase	-0.78	5.249
29914	UBIAD1	UbiA prenyltransferase domain containing 1	1.223	1.714
93611	FBXO44	F-box protein 44	0.542	2.229
26270	FBXO6	F-box protein 6	-1.216	7.784
10459	MAD2L2	mitotic arrest deficient 2 like 2	-0.726	2.053
57085	AGTRAP	angiotensin II receptor associated protein	-0.631	1.926
1185	CLCN6	chloride voltage-gated channel 6	0.597	1.781
100379251	NPPA-AS1	NPPA antisense RNA 1	0.647	1.473
943	TNFRSF8	TNF receptor superfamily member 8	-0.576	1.341
7133	TNFRSF1B	TNF receptor superfamily member 1B	-0.667	2.791
55187	VPS13D	vacuolar protein sorting 13 homolog D	0.57	1.6
10630	PDPN	podoplanin	-0.684	2.518
55092	TMEM51	transmembrane protein 51	-0.738	5.664
79180	EFHD2	EF-hand domain family member D2	-0.744	5.745
79814	AGMAT	agmatinase	-1.396	4.341
6248	RSC1A1	regulator of solute carriers 1	-0.533	1.966
1969	EPHA2	EPH receptor A2	-1.162	3.836
101927479	EPHA2-AS1	EPHA2 antisense RNA 1	-1.026	4.513
101927546	ANO7L1	anoctamin 7 like 1 (pseudogene)	-0.79	2.831
26099	SZRD1	SUZ RNA binding domain containing 1	-0.551	2.779
107984921	LINC01772	long intergenic non-protein coding RNA 1772	1.206	2.924
114819	CROCCP3	CROCC pseudogene 3	1.267	2.874
55672	NBPF1	NBPF member 1	0.809	3.158
11209	MST1P2	macrophage stimulating 1 pseudogene 2	1.605	2.449
11223	MST1L	macrophage stimulating 1 like (pseudogene)	1.671	2.696
9696	CROCC	ciliary rootlet coiled-coil, rootletin	1.112	3.032
6390	SDHB	succinate dehydrogenase complex iron sulfur subunit B	-0.644	1.629
11240	PADI2	peptidyl arginine deiminase 2	1.426	2.249
51702	PADI3	peptidyl arginine deiminase 3	0.945	1.403
8659	ALDH4A1	aldehyde dehydrogenase 4 family member A1	-1.047	4.577
51154	MRTO4	MRT4 homolog, ribosome maturation factor	-1.154	5.084
100506730	LOC100506730	uncharacterized LOC100506730	0.891	1.722
644068	RPS14P3	ribosomal protein S14 pseudogene 3	1.183	1.597
23252	OTUD3	OTU deubiquitinase 3	0.693	1.873
5320	PLA2G2A	phospholipase A2 group IIA	-2.24	4.379
64600	PLA2G2F	phospholipase A2 group IIF	-2.687	10.577
127733	UBXN10	UBX domain protein 10	1.056	3.401
55450	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1	1.389	5.613
249	ALPL	alkaline phosphatase, biomineralization associated	-0.698	1.308
401944	LDLRAD2	low density lipoprotein receptor class A domain containing 2	0.78	1.836
3339	HSPG2	heparan sulfate proteoglycan 2	0.728	1.337
9923	ZBTB40	zinc finger and BTB domain containing 40	0.576	1.519
714	C1QC	complement C1q C chain	-0.994	1.497
713	C1QB	complement C1q B chain	-1.187	1.949
2048	EPHB2	EPH receptor B2	-2.331	9.863
100996511	LINC01355	long intergenic non-protein coding RNA 1355	1.403	2.198
148898	ZNF436-AS1	ZNF436 antisense RNA 1	0.941	2.096
6920	TCEA3	transcription elongation factor A3	0.608	3.609
1870	E2F2	E2F transcription factor 2	-0.626	1.697
105376860	LOC105376860	uncharacterized LOC105376860	-0.622	3.764
11313	LYPLA2	lysophospholipase 2	-0.503	2.506
2582	GALE	UDP-galactose-4-epimerase	-1.039	6.903
127294	MYOM3	myomesin 3	-1.385	5.54
58985	IL22RA1	interleukin 22 receptor subunit alpha 1	-0.649	1.752
57822	GRHL3	grainyhead like transcription factor 3	-1.503	5.54
57185	NIPAL3	NIPA like domain containing 3	0.574	2.122
400746	NCMAP	non-compact myelin associated protein	1.136	1.95
57035	RSRP1	arginine and serine rich protein 1	0.762	1.325
55219	MACO1	macoilin 1	-0.743	6.014
646471	LOC646471	uncharacterized LOC646471	0.525	2.258
2134	EXTL1	exostosin like glycosyltransferase 1	2.351	6.008
7780	SLC30A2	solute carrier family 30 member 2	0.934	1.513
79927	FAM110D	family with sequence similarity 110 member D	0.948	2.535
51042	ZNF593	zinc finger protein 593	-1.275	4.171
83442	SH3BGRL3	SH3 domain binding glutamate rich protein like 3	-0.719	3.192
2810	SFN	stratifin	-1.795	10.792
6548	SLC9A1	solute carrier family 9 member A1	0.627	1.465
388611	CD164L2	CD164 molecule like 2	-0.887	2.744
27245	AHDC1	AT-hook DNA binding motif containing 1	0.971	3.666
2537	IFI6	interferon alpha inducible protein 6	-3.123	12.674
9473	THEMIS2	thymocyte selection associated family member 2	-1.073	6.073
5724	PTAFR	platelet activating factor receptor	-1.479	11.637
22826	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8	-0.5	1.323
83667	SESN2	sestrin 2	-0.742	2.18
54797	MED18	mediator complex subunit 18	-0.658	2.018
1104	RCC1	regulator of chromosome condensation 1	-1.3	10.36
8420	SNHG3	small nucleolar RNA host gene 3	-1.45	7.823
2035	EPB41	erythrocyte membrane protein band 4.1	0.598	1.687
399474	TMEM200B	transmembrane protein 200B	0.574	5.872
10076	PTPRU	protein tyrosine phosphatase receptor type U	1.158	4.822
7805	LAPTM5	lysosomal protein transmembrane 5	-0.762	2.67
9410	SNRNP40	small nuclear ribonucleoprotein U5 subunit 40	-0.671	2.424
1307	COL16A1	collagen type XVI alpha 1 chain	0.914	2.205
576	ADGRB2	adhesion G protein-coupled receptor B2	1.194	6.669
149069	DCDC2B	doublecortin domain containing 2B	1.017	1.484
8668	EIF3I	eukaryotic translation initiation factor 3 subunit I	-0.636	1.418
3932	LCK	LCK proto-oncogene, Src family tyrosine kinase	-1.468	6.117
3065	HDAC1	histone deacetylase 1	-0.792	11.244
81629	TSSK3	testis specific serine kinase 3	0.86	2.321
100128071	FAM229A	family with sequence similarity 229 member A	1.07	1.471
57648	KIAA1522	KIAA1522	0.535	2.262
8565	YARS1	tyrosyl-tRNA synthetase 1	-0.8	5.654
252995	FNDC5	fibronectin type III domain containing 5	1.549	4.319
3208	HPCA	hippocalcin	-1.046	5.035
113452	TMEM54	transmembrane protein 54	-1.046	4.099
127544	RNF19B	ring finger protein 19B	-1.02	5.04
204	AK2	adenylate kinase 2	-0.838	4.402
113451	AZIN2	antizyme inhibitor 2	0.708	2.095
55223	TRIM62	tripartite motif containing 62	-0.872	3.557
127534	GJB4	gap junction protein beta 4	2.499	8.467
113444	SMIM12	small integral membrane protein 12	-1.03	3.467
79932	KIAA0319L	KIAA0319 like	0.516	1.472
339488	TFAP2E	transcription factor AP-2 epsilon	0.605	1.7
5690	PSMB2	proteasome 20S subunit beta 2	-0.717	5.998
63967	CLSPN	claspin	-1.026	3.718
192670	AGO4	argonaute RISC component 4	0.698	3.559
54936	ADPRS	ADP-ribosylserine hydrolase	-0.705	8.496
1296	COL8A2	collagen type VIII alpha 2 chain	0.583	1.897
27095	TRAPPC3	trafficking protein particle complex subunit 3	-0.792	2.123
55700	MAP7D1	MAP7 domain containing 1	-0.53	2.415
84967	LSM10	LSM10, U7 small nuclear RNA associated	-0.688	1.604
64960	MRPS15	mitochondrial ribosomal protein S15	-0.964	2.07
2899	GRIK3	glutamate ionotropic receptor kainate type subunit 3	1.612	7.688
728431	ZC3H12A-DT	ZC3H12A divergent transcript	-1.335	8.332
80149	ZC3H12A	zinc finger CCCH-type containing 12A	-2.9	19.913
284654	RSPO1	R-spondin 1	0.636	1.976
55143	CDCA8	cell division cycle associated 8	-1.003	6.145
284656	EPHA10	EPH receptor A10	0.961	1.424
79693	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing	-0.678	2.589
51118	UTP11	UTP11 small subunit processome component	-0.866	3.17
107985103	LOC107985103	replaced by ID 105378653	0.982	2.119
105378653	MIR3659HG	MIR3659 host gene	1.938	13.368
105378654	LOC105378654	uncharacterized LOC105378654	-2.904	28.471
64121	RRAGC	Ras related GTP binding C	-0.646	3.228
100527950	GJA9-MYCBP	GJA9-MYCBP readthrough	-0.625	1.719
26292	MYCBP	MYC binding protein	-0.65	1.756
54933	RHBDL2	rhomboid like 2	-0.754	3.128
105378662	LOC105378662	uncharacterized LOC105378662	-0.568	2.677
643314	KIAA0754	replaced by ID 23499	0.644	1.453
353500	BMP8A	bone morphogenetic protein 8a	0.886	1.447
728448	PPIEL	peptidylprolyl isomerase E like pseudogene	1.052	2.06
656	BMP8B	bone morphogenetic protein 8b	1.117	5.69
84879	MFSD2A	MFSD2 lysolipid transporter A, lysophospholipid	0.638	1.446
10487	CAP1	cyclase associated actin cytoskeleton regulatory protein 1	-0.68	3.487
5538	PPT1	palmitoyl-protein thioesterase 1	-0.531	1.702
10269	ZMPSTE24	zinc metallopeptidase STE24	-0.615	2.315
1298	COL9A2	collagen type IX alpha 2 chain	0.815	1.378
64744	SMAP2	small ArfGAP2	-0.668	2.65
9783	RIMS3	regulating synaptic membrane exocytosis 3	-0.783	2.394
9132	KCNQ4	potassium voltage-gated channel subfamily Q member 4	1.437	2.321
1503	CTPS1	CTP synthase 1	-1.117	13.362
100507178	SLFNL1-AS1	SLFNL1 antisense RNA 1	0.59	1.368
22955	SCMH1	Scm polycomb group protein homolog 1	0.602	4.574
100132074	FOXO6	forkhead box O6	1.472	5.928
284716	RIMKLA	ribosomal modification protein rimK like family member A	0.904	2.658
10465	PPIH	peptidylprolyl isomerase H	-0.833	2.958
6513	SLC2A1	solute carrier family 2 member 1	-0.697	2.489
10969	EBNA1BP2	EBNA1 binding protein 2	-1.127	6.811
149465	CFAP57	cilia and flagella associated protein 57	0.755	1.658
105378687	CDC20-DT	CDC20 divergent transcript	0.714	1.618
991	CDC20	cell division cycle 20	-1.387	6.444
112950	MED8	mediator complex subunit 8	-1.041	4.295
107984947	MED8-AS1	MED8 antisense RNA 1	-1.201	6.057
81888	HYI	hydroxypyruvate isomerase (putative)	0.521	2.634
5792	PTPRF	protein tyrosine phosphatase receptor type F	0.67	1.776
1802	DPH2	diphthamide biosynthesis 2	-0.752	6.625
11004	KIF2C	kinesin family member 2C	-1.261	9.023
26811	SNORD55	small nucleolar RNA, C/D box 55	-0.796	1.453
266675	BEST4	bestrophin 4	0.968	1.814
1263	PLK3	polo like kinase 3	-0.952	3.024
8643	PTCH2	patched 2	1.496	3.007
57643	ZSWIM5	zinc finger SWIM-type containing 5	1.151	3.919
84842	HPDL	4-hydroxyphenylpyruvate dioxygenase like	-1.451	5.948
25974	MMACHC	metabolism of cobalamin associated C	-0.673	2.837
5052	PRDX1	peroxiredoxin 1	-0.748	2.817
728963	RPS15AP10	ribosomal protein S15a pseudogene 10	1.258	1.499
23139	MAST2	microtubule associated serine/threonine kinase 2	0.745	1.718
10103	TSPAN1	tetraspanin 1	0.993	3.177
541468	LURAP1	leucine rich adaptor protein 1	0.743	3.45
8438	RAD54L	RAD54 like	-0.517	1.649
2166	FAAH	fatty acid amide hydrolase	0.557	1.655
729041	FAAHP1	fatty acid amide hydrolase pseudogene 1	-2.928	7.473
1580	CYP4B1	cytochrome P450 family 4 subfamily B member 1	1.097	3.864
163720	CYP4Z2P	cytochrome P450 family 4 subfamily Z member 2, pseudogene	-1.42	2.205
10158	PDZK1IP1	PDZK1 interacting protein 1	-2.356	13.229
6886	TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor	0.523	1.761
6491	STIL	STIL centriolar assembly protein	-1.07	6.204
84793	FOXD2-AS1	FOXD2 adjacent opposite strand RNA 1	0.75	1.507
388630	TRABD2B	TraB domain containing 2B	1.268	6.253
54558	SPATA6	spermatogenesis associated 6	0.597	4.297
26994	RNF11	ring finger protein 11	-0.8	3
22996	TTC39A	tetratricopeptide repeat domain 39A	-2.348	19.77
5865	RAB3B	RAB3B, member RAS oncogene family	2.653	14.26
112970	KTI12	KTI12 chromatin associated homolog	-0.598	4.101
4998	ORC1	origin recognition complex subunit 1	-1.357	8.355
23318	TUT4	terminal uridylyl transferase 4	0.518	1.707
65260	COA7	cytochrome c oxidase assembly factor 7	-0.676	6.011
55268	ECHDC2	enoyl-CoA hydratase domain containing 2	0.77	2.079
127435	PODN	podocan	1.197	6.073
6512	SLC1A7	solute carrier family 1 member 7	1.122	5.629
4116	MAGOH	mago homolog, exon junction complex subunit	-0.749	3.362
7804	LRP8	LDL receptor related protein 8	-1.332	5.433
148979	GLIS1	GLIS family zinc finger 1	0.607	1.826
54432	YIPF1	Yip1 domain family member 1	-0.691	3.748
51253	MRPL37	mitochondrial ribosomal protein L37	-0.562	2.432
619518	SSBP3-AS1	SSBP3 antisense RNA 1	1.193	2.133
374977	MROH7	maestro heat like repeat family member 7	1.586	1.946
55001	TTC22	tetratricopeptide repeat domain 22	-0.952	3.102
1718	DHCR24	24-dehydrocholesterol reductase	0.972	1.489
199964	TMEM61	transmembrane protein 61	1.245	3.287
255738	PCSK9	proprotein convertase subtilisin/kexin type 9	-2.639	9.741
5563	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2	1.152	3.303
1573	CYP2J2	cytochrome P450 family 2 subfamily J member 2	1.543	6.39
4774	NFIA	nuclear factor I A	0.657	2.604
163782	KANK4	KN motif and ankyrin repeat domains 4	1.795	3.655
100996301	FOXD3-AS1	FOXD3 antisense RNA 1	1.001	2.24
27022	FOXD3	forkhead box D3	1.739	5.714
9829	DNAJC6	DnaJ heat shock protein family (Hsp40) member C6	0.74	2.13
3953	LEPR	leptin receptor	1.41	4.212
5142	PDE4B	phosphodiesterase 4B	-0.789	1.552
57708	MIER1	MIER1 transcriptional regulator	-0.526	1.365
3595	IL12RB2	interleukin 12 receptor subunit beta 2	-1.816	8.307
26135	SERBP1	SERPINE1 mRNA binding protein 1	-0.52	3.239
1647	GADD45A	growth arrest and DNA damage inducible alpha	-0.517	1.82
79971	WLS	Wnt ligand secretion mediator	0.661	8.613
55635	DEPDC1	DEP domain containing 1	-0.914	1.838
57554	LRRC7	leucine rich repeat containing 7	1.442	6.235
11147	HHLA3	HERV-H LTR-associating 3	-0.511	1.411
5733	PTGER3	prostaglandin E receptor 3	-1.045	2.053
100132618	ZRANB2-AS1	ZRANB2 antisense RNA 1	-0.539	1.323
406962	MIR186	microRNA 186	1.016	1.453
257194	NEGR1	neuronal growth regulator 1	0.612	1.596
51086	TNNI3K	TNNI3 interacting kinase	1.247	3.283
256435	ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	-0.73	1.429
81849	ST6GALNAC5	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	1.539	3.481
91624	NEXN	nexilin F-actin binding protein	0.57	1.674
10964	IFI44L	interferon induced protein 44 like	-1.738	4.387
10561	IFI44	interferon induced protein 44	-2.316	9.238
101927587	LINC01725	long intergenic non-protein coding RNA 1725	1.103	3.204
79739	TTLL7	tubulin tyrosine ligase like 7	0.818	2.636
148418	SAMD13	sterile alpha motif domain containing 13	0.935	2.481
55283	MCOLN3	mucolipin TRP cation channel 3	1.267	3.803
84144	SYDE2	synapse defective Rho GTPase homolog 2	1.077	5.252
8915	BCL10	BCL10 immune signaling adaptor	-0.734	5.206
646626	BCL10-AS1	BCL10 antisense RNA 1	-0.886	2.39
23576	DDAH1	dimethylarginine dimethylaminohydrolase 1	1.324	4.359
255631	COL24A1	collagen type XXIV alpha 1 chain	1.331	2.584
9635	CLCA2	chloride channel accessory 2	-1.373	7.548
22802	CLCA4	chloride channel accessory 4	0.951	2.831
2635	GBP3	guanylate binding protein 3	-0.755	1.323
2633	GBP1	guanylate binding protein 1	-2.481	15.659
2634	GBP2	guanylate binding protein 2	-0.911	4.464
112268267	LOC112268267	uncharacterized LOC112268267	-0.921	4.603
115361	GBP4	guanylate binding protein 4	-1.714	5.04
115362	GBP5	guanylate binding protein 5	-2.049	8.576
163351	GBP6	guanylate binding protein family member 6	-2.956	16.961
400759	GBP1P1	guanylate binding protein 1 pseudogene 1	-1.858	4.76
23507	LRRC8B	leucine rich repeat containing 8 VRAC subunit B	-1.258	7.747
55144	LRRC8D	leucine rich repeat containing 8 VRAC subunit D	-0.598	4.591
492303	GEMIN8P4	gem nuclear organelle associated protein 8 pseudogene 4	-0.984	3.266
8317	CDC7	cell division cycle 7	-0.56	3.35
7049	TGFBR3	transforming growth factor beta receptor 3	0.681	2.51
253152	EPHX4	epoxide hydrolase 4	0.985	2.606
23285	KIAA1107	replaced by ID 284697	0.785	1.511
11146	GLMN	glomulin, FKBP associated protein	-0.754	2.439
100131564	CCDC18-AS1	CCDC18 antisense RNA 1	1.129	2.525
54874	FNBP1L	formin binding protein 1 like	0.869	4.154
8412	BCAR3	BCAR3 adaptor protein, NSP family member	1.356	9.3
100129046	BCAR3-AS1	BCAR3 antisense RNA 1	1.506	6.292
30836	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2	-0.541	2.229
2152	F3	coagulation factor III, tissue factor	1.351	8.342
101928079	SLC44A3-AS1	SLC44A3 antisense RNA 1	1.232	3.892
148534	TLCD4	TLC domain containing 4	2.399	1.915
100527978	TLCD4-RWDD3	TLCD4-RWDD3 readthrough	1.359	2.464
100996635	LINC02607	long intergenic non-protein coding RNA 2607	1.116	1.926
7412	VCAM1	vascular cell adhesion molecule 1	-0.743	2.258
148867	SLC30A7	solute carrier family 30 member 7	-0.72	5.039
1301	COL11A1	collagen type XI alpha 1 chain	2.149	2.062
55599	RNPC3	RNA binding region (RNP1, RRM) containing 3	0.759	2.211
280	AMY2B	amylase alpha 2B	1.196	1.736
55170	PRMT6	protein arginine methyltransferase 6	-0.785	3.912
113802	HENMT1	HEN methyltransferase 1	-0.669	3.937
6884	TAF13	TATA-box binding protein associated factor 13	-1.137	3.985
57535	ELAPOR1	endosome-lysosome associated apoptosis and autophagy regulator 1	1.785	2.814
5686	PSMA5	proteasome 20S subunit alpha 5	-1.003	2.15
284612	SYPL2	synaptophysin like 2	2.349	1.795
57463	AMIGO1	adhesion molecule with Ig like domain 1	0.936	4.678
2773	GNAI3	G protein subunit alpha i3	-0.704	1.907
2946	GSTM2	glutathione S-transferase mu 2	1.251	4.93
2949	GSTM5	glutathione S-transferase mu 5	1.233	5.559
3737	KCNA2	potassium voltage-gated channel subfamily A member 2	1.194	2.96
963	CD53	CD53 molecule	-1.048	4.286
79961	DENND2D	DENN domain containing 2D	-0.786	5.566
1117	CHI3L2	chitinase 3 like 2	-2.94	7.389
128344	PIFO	primary cilia formation	0.924	2.16
5016	OVGP1	oviductal glycoprotein 1	0.974	1.482
79084	WDR77	WD repeat domain 77	-0.814	11.128
7482	WNT2B	Wnt family member 2B	1.301	8.334
829	CAPZA1	capping actin protein of muscle Z-line subunit alpha 1	-0.863	4.011
333926	PPM1J	protein phosphatase, Mg2+/Mn2+ dependent 1J	0.626	2.505
6566	SLC16A1	solute carrier family 16 member 1	-1.208	8.582
100996251	LRIG2-DT	LRIG2 divergent transcript	1.031	2.326
9860	LRIG2	leucine rich repeats and immunoglobulin like domains 2	0.5	1.571
10745	PHTF1	putative homeodomain transcription factor 1	-0.554	3.985
26191	PTPN22	protein tyrosine phosphatase non-receptor type 22	-0.95	3.277
64858	DCLRE1B	DNA cross-link repair 1B	-0.544	4.12
56944	OLFML3	olfactomedin like 3	0.763	2.658
163259	DENND2C	DENN domain containing 2C	-0.777	3.465
4808	NHLH2	nescient helix-loop-helix 2	1.058	2.58
55356	SLC22A15	solute carrier family 22 member 15	1.066	6.713
126868	MAB21L3	mab-21 like 3	-0.683	1.869
965	CD58	CD58 molecule	-0.689	1.492
3321	IGSF3	immunoglobulin superfamily member 3	-0.543	1.322
914	CD2	CD2 molecule	-1.256	3.079
80263	TRIM45	tripartite motif containing 45	1.126	4.801
79679	VTCN1	V-set domain containing T cell activation inhibitor 1	1.483	2.485
6913	TBX15	T-box transcription factor 15	0.704	1.735
3283	HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	5.597	5.462
3158	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	1.785	2.967
728841	NBPF8	NBPF member 8	0.711	1.467
767846	PFN1P2	profilin 1 pseudogene 2	1.269	2.593
100996724	PDE4DIPP2	PDE4DIP pseudogene 2	0.97	3.515
107985524	LOC107985524	uncharacterized LOC107985524	0.813	3.368
101060684	NBPF26	NBPF member 26	1.089	1.765
106479023	H3P4	H3 histone pseudogene 4	0.786	1.624
2210	FCGR1BP	Fc gamma receptor Ib, pseudogene	-2.653	8.537
653464	SRGAP2C	SLIT-ROBO Rho GTPase activating protein 2C	0.573	3.981
647121	EMBP1	embigin pseudogene 1	-0.733	1.653
100996712	SRGAP2D	SLIT-ROBO Rho GTPase activating protein 2D (pseudogene)	0.602	1.666
647135	SRGAP2B	SLIT-ROBO Rho GTPase activating protein 2B	0.71	4.088
100288142	NBPF20	NBPF member 20	0.706	1.938
5174	PDZK1	PDZ domain containing 1	2.021	1.411
8515	ITGA10	integrin subunit alpha 10	0.828	1.395
9939	RBM8A	RNA binding motif protein 8A	-0.534	7.182
105371260	LIX1L-AS1	LIX1L antisense RNA 1	-0.829	7.862
284615	ANKRD34A	ankyrin repeat domain 34A	0.663	1.462
10628	TXNIP	thioredoxin interacting protein	0.781	3.712
100288805	HYDIN2	HYDIN axonemal central pair apparatus protein 2 (pseudogene)	1.026	2.031
149013	NBPF12	NBPF member 12	0.644	1.359
5565	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2	0.54	3.259
2330	FMO5	flavin containing dimethylaniline monoxygenase 5	1.098	5.087
100034743	PDZK1P1	PDZ domain containing 1 pseudogene 1	1.591	1.702
105371228	LINC02804	long intergenic non-protein coding RNA 2804	0.763	1.509
200030	NBPF11	NBPF member 11	0.687	1.389
25832	NBPF14	NBPF member 14	0.506	1.346
100996517	SEC22B3P	SEC22 homolog B3, pseudogene	0.588	1.862
9659	PDE4DIP	phosphodiesterase 4D interacting protein	0.68	11.61
653513	LOC653513	phosphodiesterase 4D interacting protein-like	1.222	5.303
100996716	SEC22B2P	SEC22 homolog B2, pseudogene	0.667	2.175
101060226	NBPF19	NBPF member 19	0.631	1.915
2209	FCGR1A	Fc gamma receptor Ia	-2.737	10.147
9900	SV2A	synaptic vesicle glycoprotein 2A	0.61	1.781
56957	OTUD7B	OTU deubiquitinase 7B	0.653	4.095
51177	PLEKHO1	pleckstrin homology domain containing O1	-0.696	3.122
4170	MCL1	MCL1 apoptosis regulator, BCL2 family member	-0.519	2.578
107985203	LOC107985203	uncharacterized LOC107985203	1.151	1.611
2029	ENSA	endosulfine alpha	-0.505	1.425
1520	CTSS	cathepsin S	-0.725	1.579
56882	CDC42SE1	CDC42 small effector 1	-0.654	8.039
10500	SEMA6C	semaphorin 6C	0.762	1.807
29765	TMOD4	tropomodulin 4	0.882	1.758
8991	SELENBP1	selenium binding protein 1	0.831	4.679
23126	POGZ	pogo transposable element derived with ZNF domain	0.878	2.331
81609	SNX27	sorting nexin 27	0.516	2.148
11189	CELF3	CUGBP Elav-like family member 3	0.682	2.562
51686	OAZ3	ornithine decarboxylase antizyme 3	-0.656	2.367
6097	RORC	RAR related orphan receptor C	1.76	7.125
6282	S100A11	S100 calcium binding protein A11	-1.175	11.639
7062	TCHH	trichohyalin	2.173	1.437
388697	HRNR	hornerin	-4.572	8.006
388698	FLG2	filaggrin 2	1.686	3.718
254910	LCE5A	late cornified envelope 5A	1.582	1.55
54544	CRCT1	cysteine rich C-terminal 1	-1.822	2.129
353145	LCE3E	late cornified envelope 3E	-7.516	51.93
84648	LCE3D	late cornified envelope 3D	-7.181	48.482
353142	LCE3A	late cornified envelope 3A	-10.468	47.923
353139	LCE2A	late cornified envelope 2A	-1.702	2.249
3713	IVL	involucrin	-1.68	3.961
101927988	LINC01527	long intergenic non-protein coding RNA 1527	-3.263	7.351
6698	SPRR1A	small proline rich protein 1A	-3.357	4.99
6699	SPRR1B	small proline rich protein 1B	-4.219	17.063
6703	SPRR2D	small proline rich protein 2D	-6.05	22.314
6700	SPRR2A	small proline rich protein 2A	-8.483	30.857
6701	SPRR2B	small proline rich protein 2B	-8.726	39.327
6704	SPRR2E	small proline rich protein 2E	-4.466	16.555
6705	SPRR2F	small proline rich protein 2F	-8.787	27.654
6702	SPRR2C	small proline rich protein 2C (pseudogene)	-7.673	10.212
6706	SPRR2G	small proline rich protein 2G	-6.625	35.664
114771	PGLYRP3	peptidoglycan recognition protein 3	-1.318	5.933
57115	PGLYRP4	peptidoglycan recognition protein 4	-2.055	12.32
6280	S100A9	S100 calcium binding protein A9	-7.837	15.503
