GeneID	Symbol	Description	log2(fold change)(Non-lesion-PsA vs lesion-PsA)	-log10(Pvalue)(Non-lesion-PsA vs lesion-PsA)
54936	ADPRS	ADP-ribosylserine hydrolase	-0.63	7.16
1296	COL8A2	collagen type VIII alpha 2 chain	0.622	2.612
27095	TRAPPC3	trafficking protein particle complex subunit 3	-0.83	3.635
84967	LSM10	LSM10, U7 small nuclear RNA associated	-0.632	1.985
64960	MRPS15	mitochondrial ribosomal protein S15	-0.94	3.35
1441	CSF3R	colony stimulating factor 3 receptor	-1.462	3.052
2899	GRIK3	glutamate ionotropic receptor kainate type subunit 3	1.507	8.513
728431	ZC3H12A-DT	ZC3H12A divergent transcript	-0.99	5.498
80149	ZC3H12A	zinc finger CCCH-type containing 12A	-2.546	13.636
284654	RSPO1	R-spondin 1	0.627	2.781
55143	CDCA8	cell division cycle associated 8	-1.082	7.655
149175	MANEAL	mannosidase endo-alpha like	1.04	3.147
79693	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing	-0.675	3.468
51118	UTP11	UTP11 small subunit processome component	-0.911	5.9
5453	POU3F1	POU class 3 homeobox 1	0.504	1.363
105378653	MIR3659HG	MIR3659 host gene	1.268	9.734
105378654	LOC105378654	uncharacterized LOC105378654	-2.653	27.204
64121	RRAGC	Ras related GTP binding C	-0.629	4.412
100527950	GJA9-MYCBP	GJA9-MYCBP readthrough	-0.506	2.003
26292	MYCBP	MYC binding protein	-0.522	2.031
54933	RHBDL2	rhomboid like 2	-0.711	4.129
4725	NDUFS5	NADH:ubiquinone oxidoreductase subunit S5	-0.559	1.52
643314	KIAA0754	replaced by ID 23499	0.832	3.321
656	BMP8B	bone morphogenetic protein 8b	0.858	7.664
10487	CAP1	cyclase associated actin cytoskeleton regulatory protein 1	-0.551	3.513
5538	PPT1	palmitoyl-protein thioesterase 1	-0.569	2.826
10269	ZMPSTE24	zinc metallopeptidase STE24	-0.521	2.537
64744	SMAP2	small ArfGAP2	-0.571	3.43
9132	KCNQ4	potassium voltage-gated channel subfamily Q member 4	1.092	2.841
1503	CTPS1	CTP synthase 1	-1.023	16.14
100132074	FOXO6	forkhead box O6	1.304	8.473
284716	RIMKLA	ribosomal modification protein rimK like family member A	0.897	3.955
10465	PPIH	peptidylprolyl isomerase H	-0.889	4.997
149461	CLDN19	claudin 19	1.722	3.894
6513	SLC2A1	solute carrier family 2 member 1	-0.711	4.336
10969	EBNA1BP2	EBNA1 binding protein 2	-1.027	7.464
105378687	CDC20-DT	CDC20 divergent transcript	0.662	2.489
991	CDC20	cell division cycle 20	-1.642	13.389
112950	MED8	mediator complex subunit 8	-0.927	6.055
107984947	MED8-AS1	MED8 antisense RNA 1	-1.089	7.898
5792	PTPRF	protein tyrosine phosphatase receptor type F	0.678	2.836
1802	DPH2	diphthamide biosynthesis 2	-0.652	7.83
11004	KIF2C	kinesin family member 2C	-1.498	19.378
94163	SNORD38B	small nucleolar RNA, C/D box 38B	-0.725	2.012
266675	BEST4	bestrophin 4	0.791	1.561
1263	PLK3	polo like kinase 3	-1.003	5.886
343521	DYNLT4	dynein light chain Tctex-type 4	-0.748	2.647
8643	PTCH2	patched 2	1.016	2.244
57643	ZSWIM5	zinc finger SWIM-type containing 5	1.025	5.073
84842	HPDL	4-hydroxyphenylpyruvate dioxygenase like	-1.542	10.334
25974	MMACHC	metabolism of cobalamin associated C	-0.626	3.332
5052	PRDX1	peroxiredoxin 1	-0.699	3.572
10103	TSPAN1	tetraspanin 1	0.654	2.01
541468	LURAP1	leucine rich adaptor protein 1	0.726	4.309
8438	RAD54L	RAD54 like	-0.69	3.874
7388	UQCRH	ubiquinol-cytochrome c reductase hinge protein	-0.676	1.872
729041	FAAHP1	fatty acid amide hydrolase pseudogene 1	-2.363	5.598
127343	DMBX1	diencephalon/mesencephalon homeobox 1	1.848	1.417
1580	CYP4B1	cytochrome P450 family 4 subfamily B member 1	1.656	8.028
163720	CYP4Z2P	cytochrome P450 family 4 subfamily Z member 2, pseudogene	-1.731	3.293
10158	PDZK1IP1	PDZK1 interacting protein 1	-2.255	20.015
6491	STIL	STIL centriolar assembly protein	-1.091	8.797
2306	FOXD2	forkhead box D2	1.214	4.32
388630	TRABD2B	TraB domain containing 2B	1.103	6.984
200010	SLC5A9	solute carrier family 5 member 9	0.826	2.398
26994	RNF11	ring finger protein 11	-0.681	3.583
22996	TTC39A	tetratricopeptide repeat domain 39A	-2.465	35.24
5865	RAB3B	RAB3B, member RAS oncogene family	2.616	21.036
112970	KTI12	KTI12 chromatin associated homolog	-0.525	3.959
91408	BTF3L4	basic transcription factor 3 like 4	-0.77	2.728
4998	ORC1	origin recognition complex subunit 1	-1.31	7.582
55268	ECHDC2	enoyl-CoA hydratase domain containing 2	0.634	1.621
127435	PODN	podocan	1.125	6.974
6512	SLC1A7	solute carrier family 1 member 7	1.034	3.738
4116	MAGOH	mago homolog, exon junction complex subunit	-0.788	4.9
7804	LRP8	LDL receptor related protein 8	-1.04	4.382
148979	GLIS1	GLIS family zinc finger 1	0.597	1.378
54432	YIPF1	Yip1 domain family member 1	-0.668	4.669
51668	HSPB11	heat shock protein family B (small) member 11	-0.615	2.487
338094	FAM151A	family with sequence similarity 151 member A	-0.731	1.829
55001	TTC22	tetratricopeptide repeat domain 22	-0.976	4.793
1718	DHCR24	24-dehydrocholesterol reductase	1.278	4.166
199964	TMEM61	transmembrane protein 61	0.764	2.724
255738	PCSK9	proprotein convertase subtilisin/kexin type 9	-2.569	12.416
5563	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2	0.987	3.597
101926907	LOC101926907	uncharacterized LOC101926907	1.151	2.452
1573	CYP2J2	cytochrome P450 family 2 subfamily J member 2	0.979	3.239
163782	KANK4	KN motif and ankyrin repeat domains 4	1.851	7.021
27022	FOXD3	forkhead box D3	1.407	7.662
23421	ITGB3BP	integrin subunit beta 3 binding protein	-0.636	1.661
5236	PGM1	phosphoglucomutase 1	0.552	1.961
9829	DNAJC6	DnaJ heat shock protein family (Hsp40) member C6	0.592	1.889
3953	LEPR	leptin receptor	1.313	4.847
5142	PDE4B	phosphodiesterase 4B	-0.83	2.635
84251	SGIP1	SH3GL interacting endocytic adaptor 1	-0.641	1.952
3595	IL12RB2	interleukin 12 receptor subunit beta 2	-1.851	12.764
1647	GADD45A	growth arrest and DNA damage inducible alpha	-0.588	4.201
9077	DIRAS3	DIRAS family GTPase 3	1.172	2.339
79971	WLS	Wnt ligand secretion mediator	0.609	7.222
55635	DEPDC1	DEP domain containing 1	-1.401	6.393
57554	LRRC7	leucine rich repeat containing 7	1.206	4.593
5733	PTGER3	prostaglandin E receptor 3	-1.133	3.907
100132618	ZRANB2-AS1	ZRANB2 antisense RNA 1	-0.569	2.386
257194	NEGR1	neuronal growth regulator 1	0.778	2.78
51086	TNNI3K	TNNI3 interacting kinase	0.934	2.061
1429	CRYZ	crystallin zeta	-0.603	1.438
204962	SLC44A5	solute carrier family 44 member 5	1.041	2.002
34	ACADM	acyl-CoA dehydrogenase medium chain	1.2	2.347
1744	DLSTP1	dihydrolipoamide S-succinyltransferase pseudogene 1	0.682	1.783
256435	ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	-0.605	1.419
81849	ST6GALNAC5	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	1.269	3.339
10964	IFI44L	interferon induced protein 44 like	-2.138	8.312
10561	IFI44	interferon induced protein 44	-2.736	18.664
101927587	LINC01725	long intergenic non-protein coding RNA 1725	1.147	4.044
79739	TTLL7	tubulin tyrosine ligase like 7	0.897	4.587
148418	SAMD13	sterile alpha motif domain containing 13	0.707	2.481
80135	RPF1	ribosome production factor 1 homolog	-0.515	2.36
255231	MCOLN2	mucolipin TRP cation channel 2	-0.577	1.594
55283	MCOLN3	mucolipin TRP cation channel 3	0.964	3.156
84144	SYDE2	synapse defective Rho GTPase homolog 2	0.946	5.858
8915	BCL10	BCL10 immune signaling adaptor	-0.648	5.067
646626	BCL10-AS1	BCL10 antisense RNA 1	-0.566	1.604
23576	DDAH1	dimethylarginine dimethylaminohydrolase 1	1.395	8.664
255631	COL24A1	collagen type XXIV alpha 1 chain	0.955	2.551
9635	CLCA2	chloride channel accessory 2	-1.082	8.339
9403	SELENOF	selenoprotein F	-0.692	1.953
2959	GTF2B	general transcription factor IIB	-0.692	3.156
2635	GBP3	guanylate binding protein 3	-1.238	2.575
2633	GBP1	guanylate binding protein 1	-2.253	16.369
2634	GBP2	guanylate binding protein 2	-1.055	8.748
112268267	LOC112268267	uncharacterized LOC112268267	-0.933	6.782
115361	GBP4	guanylate binding protein 4	-1.51	4.812
115362	GBP5	guanylate binding protein 5	-2.163	12.141
163351	GBP6	guanylate binding protein family member 6	-2.982	25.126
400759	GBP1P1	guanylate binding protein 1 pseudogene 1	-1.624	4.134
23507	LRRC8B	leucine rich repeat containing 8 VRAC subunit B	-0.986	5.699
55144	LRRC8D	leucine rich repeat containing 8 VRAC subunit D	-0.652	8.542
492303	GEMIN8P4	gem nuclear organelle associated protein 8 pseudogene 4	-0.558	1.386
8317	CDC7	cell division cycle 7	-0.631	4.985
102723436	LOC102723436	uncharacterized LOC102723436	0.724	1.428
7049	TGFBR3	transforming growth factor beta receptor 3	0.828	4.581
11146	GLMN	glomulin, FKBP associated protein	-0.841	4.581
54874	FNBP1L	formin binding protein 1 like	0.855	6.284
8412	BCAR3	BCAR3 adaptor protein, NSP family member	1.175	11.562
100129046	BCAR3-AS1	BCAR3 antisense RNA 1	1.527	9.436
30836	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2	-0.542	2.766
24	ABCA4	ATP binding cassette subfamily A member 4	1.199	1.827
2152	F3	coagulation factor III, tissue factor	1.446	11.634
101928079	SLC44A3-AS1	SLC44A3 antisense RNA 1	1.009	2.046
126969	SLC44A3	solute carrier family 44 member 3	0.74	1.498
148534	TLCD4	TLC domain containing 4	2.681	3.579
100527978	TLCD4-RWDD3	TLCD4-RWDD3 readthrough	1.662	5.033
101928118	RWDD3-DT	RWDD3 divergent transcript	1.462	2.902
100996635	LINC02607	long intergenic non-protein coding RNA 2607	0.999	1.961
101928219	LOC101928219	uncharacterized LOC101928219	1.597	2.732
163786	SASS6	SAS-6 centriolar assembly protein	-0.542	7.142
148867	SLC30A7	solute carrier family 30 member 7	-0.706	7.598
1301	COL11A1	collagen type XI alpha 1 chain	1.16	1.57
55599	RNPC3	RNA binding region (RNP1, RRM) containing 3	0.504	1.399
55170	PRMT6	protein arginine methyltransferase 6	-0.745	5.273
113802	HENMT1	HEN methyltransferase 1	-0.617	2.923
29899	GPSM2	G protein signaling modulator 2	-0.524	3.832
6884	TAF13	TATA-box binding protein associated factor 13	-0.892	3.355
57535	ELAPOR1	endosome-lysosome associated apoptosis and autophagy regulator 1	1.126	2.06
84722	PSRC1	proline and serine rich coiled-coil 1	-0.86	4.588
5686	PSMA5	proteasome 20S subunit alpha 5	-0.964	3.565
284612	SYPL2	synaptophysin like 2	3.462	5.05
284613	CYB561D1	cytochrome b561 family member D1	0.677	3.722
57463	AMIGO1	adhesion molecule with Ig like domain 1	1.008	6.183
2773	GNAI3	G protein subunit alpha i3	-0.69	3.395
2946	GSTM2	glutathione S-transferase mu 2	0.825	3.385
2949	GSTM5	glutathione S-transferase mu 5	1.145	5.145
105378897	SLC6A17-AS1	SLC6A17 antisense RNA 1	0.738	1.345
10542	LAMTOR5	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5	-0.84	2.433
3737	KCNA2	potassium voltage-gated channel subfamily A member 2	1.598	6.403
3738	KCNA3	potassium voltage-gated channel subfamily A member 3	-0.773	1.762
963	CD53	CD53 molecule	-1.037	7.35
79961	DENND2D	DENN domain containing 2D	-0.634	4.528
1117	CHI3L2	chitinase 3 like 2	-2.248	7.511
128344	PIFO	primary cilia formation	0.881	3.747
79084	WDR77	WD repeat domain 77	-0.697	8.643
515	ATP5PB	ATP synthase peripheral stalk-membrane subunit b	-0.723	2.385
100129269	LINC01160	long intergenic non-protein coding RNA 1160	2.059	2.317
107985184	LOC107985184	uncharacterized LOC107985184	0.684	3.437
7482	WNT2B	Wnt family member 2B	1.022	6.663
829	CAPZA1	capping actin protein of muscle Z-line subunit alpha 1	-0.907	8.338
6566	SLC16A1	solute carrier family 16 member 1	-1.031	9.902
100287722	AP4B1-AS1	AP4B1 antisense RNA 1	-0.516	3.244
26191	PTPN22	protein tyrosine phosphatase non-receptor type 22	-1.135	6.252
56944	OLFML3	olfactomedin like 3	0.729	3.507
10286	BCAS2	BCAS2 pre-mRNA processing factor	-0.519	1.753
163259	DENND2C	DENN domain containing 2C	-0.873	7.409
55356	SLC22A15	solute carrier family 22 member 15	0.74	4.135
126868	MAB21L3	mab-21 like 3	-0.561	2.216
965	CD58	CD58 molecule	-0.821	3.543
914	CD2	CD2 molecule	-1.314	6.709
105378927	LOC105378927	uncharacterized LOC105378927	1.338	1.759
80263	TRIM45	tripartite motif containing 45	0.691	2.778
79679	VTCN1	V-set domain containing T cell activation inhibitor 1	1.149	2.726
54855	TENT5C	terminal nucleotidyltransferase 5C	0.813	1.729
105378929	LOC105378929	uncharacterized LOC105378929	4.619	7.65
6913	TBX15	T-box transcription factor 15	0.656	2.196
51179	HAO2	hydroxyacid oxidase 2	2.349	1.657
3283	HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	3.504	2.854
128102	HSD3BP4	hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 4	1.516	2.724
3158	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	1.552	3.336
4853	NOTCH2	notch receptor 2	0.677	2.962
100996724	PDE4DIPP2	PDE4DIP pseudogene 2	0.683	2.537
107985524	LOC107985524	uncharacterized LOC107985524	0.655	2.448
2210	FCGR1BP	Fc gamma receptor Ib, pseudogene	-2.237	7.044
653820	FAM72B	family with sequence similarity 72 member B	-0.554	1.398
653464	SRGAP2C	SLIT-ROBO Rho GTPase activating protein 2C	0.525	2.644
440686	H3-7	H3.7 histone (putative)	0.55	1.441
100996712	SRGAP2D	SLIT-ROBO Rho GTPase activating protein 2D (pseudogene)	0.615	1.763
647135	SRGAP2B	SLIT-ROBO Rho GTPase activating protein 2B	0.62	2.79
5174	PDZK1	PDZ domain containing 1	2.881	3.62
105371260	LIX1L-AS1	LIX1L antisense RNA 1	-0.686	6.348
10628	TXNIP	thioredoxin interacting protein	0.766	4.424
2330	FMO5	flavin containing dimethylaniline monoxygenase 5	0.845	4.29
51205	ACP6	acid phosphatase 6, lysophosphatidic	1.034	1.978
100034743	PDZK1P1	PDZ domain containing 1 pseudogene 1	2.304	3.829
100996517	SEC22B3P	SEC22 homolog B3, pseudogene	0.589	2.948
9659	PDE4DIP	phosphodiesterase 4D interacting protein	0.554	8.106
653513	LOC653513	phosphodiesterase 4D interacting protein-like	0.838	4.114
100996716	SEC22B2P	SEC22 homolog B2, pseudogene	0.632	2.741
2209	FCGR1A	Fc gamma receptor Ia	-2.922	16.214
56957	OTUD7B	OTU deubiquitinase 7B	0.621	4.001
51177	PLEKHO1	pleckstrin homology domain containing O1	-0.632	3.164
79630	C1orf54	chromosome 1 open reading frame 54	-0.919	2.881
54460	MRPS21	mitochondrial ribosomal protein S21	-0.696	3.118
4170	MCL1	MCL1 apoptosis regulator, BCL2 family member	-0.562	4.112
2029	ENSA	endosulfine alpha	-0.502	2.428
1520	CTSS	cathepsin S	-0.822	3.927
56882	CDC42SE1	CDC42 small effector 1	-0.608	7.329
100534012	TNFAIP8L2-SCNM1	TNFAIP8L2-SCNM1 readthrough	-0.589	2.418
79626	TNFAIP8L2	TNF alpha induced protein 8 like 2	-0.565	1.892
79005	SCNM1	sodium channel modifier 1	-0.59	2.396
8991	SELENBP1	selenium binding protein 1	0.679	5.823
5692	PSMB4	proteasome 20S subunit beta 4	-0.523	1.97
23126	POGZ	pogo transposable element derived with ZNF domain	0.581	1.727
81609	SNX27	sorting nexin 27	0.591	3.548
11189	CELF3	CUGBP Elav-like family member 3	0.514	2.501
65005	MRPL9	mitochondrial ribosomal protein L9	-0.603	3.123
51686	OAZ3	ornithine decarboxylase antizyme 3	-0.632	3.416
6097	RORC	RAR related orphan receptor C	2.006	11.679
100191040	C2CD4D	C2 calcium dependent domain containing 4D	0.791	2.181
6282	S100A11	S100 calcium binding protein A11	-1.107	11.791
7062	TCHH	trichohyalin	2.303	1.828
388697	HRNR	hornerin	-5.478	18.396
388698	FLG2	filaggrin 2	1.8	7.602
254910	LCE5A	late cornified envelope 5A	1.455	3.161
54544	CRCT1	cysteine rich C-terminal 1	-1.729	4.512
353145	LCE3E	late cornified envelope 3E	-5.759	29.811
84648	LCE3D	late cornified envelope 3D	-5.703	40.4
353142	LCE3A	late cornified envelope 3A	-8.527	39.663
388699	LINC00302	long intergenic non-protein coding RNA 302	-0.953	1.61
353141	LCE2D	late cornified envelope 2D	-0.864	1.435
353140	LCE2C	late cornified envelope 2C	-0.884	1.469
353139	LCE2A	late cornified envelope 2A	-1.41	2.841
448834	KPRP	keratinocyte proline rich protein	-0.815	1.308
353137	LCE1F	late cornified envelope 1F	-1.021	1.846
3713	IVL	involucrin	-1.423	5.691
101927988	LINC01527	long intergenic non-protein coding RNA 1527	-1.533	3.565
163778	SPRR4	small proline rich protein 4	2.673	4.355
6698	SPRR1A	small proline rich protein 1A	-2.201	7.629
6699	SPRR1B	small proline rich protein 1B	-2.923	16.043
